soru,cevap
Türkiye'nin başkenti neresidir?,Ankara'dır.
Türkiye Devleti'nin bayrağının şekli nerede belirtilmiştir?,Bayrağın şekli kanunda belirtilmiştir.
Türkiye Devleti'nin ülkesi ve milletiyle ilgili hangi ifade kullanılmaktadır?,"Türkiye Devleti, ülkesi ve milletiyle bölünmez bir bütündür."
Anayasanın hangi maddesindeki hüküm değiştirilemez?,Anayasanın 1 inci maddesindeki Devletin şeklinin Cumhuriyet olduğu hakkındaki hüküm değiştirilemez.
Anayasanın 2 nci maddesi ne hakkında hüküm içerir?,Anayasanın 2 nci maddesi Cumhuriyetin nitelikleri hakkında hüküm içerir.
Anayasanın 3 üncü maddesi hakkında ne söylenebilir?,Anayasanın 3 üncü maddesi hükümleri değiştirilemez ve değiştirilmesi teklif edilemez.
Anayasanın değiştirilemeyecek hükümleri hangi maddelerde belirtilmiştir?,"Anayasanın değiştirilemeyecek hükümleri 1 inci, 2 nci ve 3 üncü maddelerde belirtilmiştir."
Anayasanın hangi maddesindeki hükümlerin değiştirilmesi teklif edilemez?,"Anayasanın 1 inci, 2 nci ve 3 üncü maddesindeki hükümlerin değiştirilmesi teklif edilemez."
1924 Anayasası'nda Cumhuriyet rejiminin değiştirilmezliği hangi amaçla konulmuştur?,Cumhuriyet rejimini korumak ve saltanata dönülmesini önlemek amacıyla konulmuştur.
1961 Anayasası'nda Cumhuriyet ilkesinin değiştirilmesinin teklif dahi edilemeyeceği neden belirtilmiştir?,Cumhuriyet rejiminden geriye dönüşün mümkün olamayacağı Türk milletince kabul edildiği için belirtilmiştir.
1924 Anayasası'ndaki Cumhuriyet rejimini koruma hükmü hangi ülkenin anayasasından esinlenmiştir?,Fransa'daki 3. Cumhuriyetin başlarındaki hükümden esinlenmiştir.
Millî Güvenlik Konseyi Anayasa Komisyonu hangi maddeleri değiştirilmez olarak kabul etmiştir?,"Anayasanın 1, 2 ve 3. maddelerini değiştirilmez olarak kabul etmiştir."
Danışma Meclisinin kabul ettiği metinde hangi madde 'Değiştirilemeyecek hükümler' başlığı altında yeniden düzenlenmiştir?,"11. madde, 4. madde olarak yeniden düzenlenmiştir."
Devletin temel amaç ve görevleri nelerdir?,"Türk milletinin bağımsızlığını ve bütünlüğünü, ülkenin bölünmezliğini, Cumhuriyeti ve demokrasiyi korumak, kişilerin ve toplumun refah, huzur ve mutluluğunu sağlamak; kişinin temel hak ve hürriyetlerini, sosyal hukuk devleti ve adalet ilkeleriyle bağdaşmayacak surette sınırlayan siyasal, ekonomik ve sosyal engelleri kaldırmak, insanın maddî ve manevî varlığının gelişmesi için gerekli şartları hazırlamaktır."
Devletin kişilerin ve toplumun refahını sağlama görevi neyi içerir?,"Kişilerin ve toplumun refah, huzur ve mutluluğunu sağlamak, kişinin temel hak ve hürriyetlerini korumak ve sosyal hukuk devleti ve adalet ilkeleriyle bağdaşmayacak engelleri kaldırmak anlamına gelir."
"Devletin, insanın maddi ve manevi varlığının gelişmesi için ne yapması gerekmektedir?","Devlet, insanın maddi ve manevi varlığının gelişmesi için gerekli şartları hazırlamaya çalışmalıdır."
"Devletin, sosyal hukuk devleti ilkeleriyle bağdaşmayan engelleri kaldırma görevi nedir?","Devletin görevi, kişilerin temel hak ve hürriyetlerini sınırlayan siyasal, ekonomik ve sosyal engelleri kaldırmaktır."
"Devletin, ülkenin bölünmezliğini koruma görevi neyi kapsar?","Devletin görevi, Türk milletinin bağımsızlığını ve bütünlüğünü, ülkenin bölünmezliğini, Cumhuriyeti ve demokrasiyi korumaktır."
Devletin temel amaç ve görevleri nelerdir?,"Devletin temel amaç ve görevleri, Türk Milletinin bağımsızlığını ve bütünlüğünü, ülkenin bölünmezliğini, Cumhuriyeti ve demokrasiyi korumak, kişilerin ve toplumun refah, huzur ve mutluluğunu sağlamak; kişinin temel hak ve hürriyetlerini, sosyal hukuk devleti ve adalet ilkeleriyle bağdaşmayacak surette sınırlayan siyasal, ekonomik ve sosyal engelleri kaldırmaya, insanın maddî ve manevî varlığının gelişmesi için gerekli şartları hazırlamaya çalışmaktır."
Sosyal devlet anlayışı neyi ifade eder?,"Sosyal devlet anlayışı, insana ve insanın düşünce hakkına saygılı olan, ferdin hak ve hürriyetlerinin kullanılmasını sınırlayan engelleri ortadan kaldırmayı amaçlayan bir devlet anlayışıdır."
Türk milleti nasıl bir bütün olarak tanımlanmaktadır?,"Türk milleti, nüfus unsurunu teşkil eden bir bütün olarak tanımlanmakta ve parçalanamaz bir bütün olarak kabul edilmektedir."
Devletin varlık sebebi nedir?,"Devletin varlık sebebi, demokrasiyi ve Cumhuriyeti korumak, milletin huzurunu sağlamak ve fertlerini mutlu kılmakla yükümlü olmaktır."
Sosyal devlet ile sosyalist devlet arasında nasıl bir ilişki vardır?,"Sosyal devlet anlayışı, sosyalist devletle ilişkisi olmayan bir devlet anlayışıdır."
Egemenlik kime aittir?,"Egemenlik, kayıtsız şartsız Milletindir."
Egemenliğin kullanılması hangi esaslara göre yapılır?,"Egemenlik, Anayasanın koyduğu esaslara göre, yetkili organları eliyle kullanılır."
"Egemenlik, herhangi bir kişiye veya sınıfa bırakılabilir mi?","Egemenliğin kullanılması, hiçbir surette hiçbir kişiye, zümreye veya sınıfa bırakılamaz."
Anayasadan kaynaklanmayan bir devlet yetkisi kullanılabilir mi?,Hiçbir kimse veya organ kaynağını Anayasadan almayan bir Devlet yetkisi kullanamaz.
Türk Milleti egemenliğini nasıl kullanır?,"Türk Milleti, egemenliğini Anayasanın koyduğu esaslara göre, yetkili organları eliyle kullanır."
Egemenlik kime aittir?,"Egemenlik, kayıtsız şartsız Türk milletine aittir."
Egemenliğin kullanılması nasıl gerçekleşir?,"Egemenlik, Anayasa’nın koyduğu esaslara göre, yetkili organlar eliyle kullanılır."
Egemenlik hangi kişilere veya sınıflara bırakılamaz?,"Egemenlik, hiçbir kişiye, zümreye veya sınıfa bırakılamaz."
Milletler uluslararası topluluklar oluştururken hangi gerçek göz ardı edilemez?,Milletlerin birbirleriyle kaynaşmakta olduklarını ve menfaatlerini korumak için topluluklar oluşturdukları gerçeği göz ardı edilemez.
Uluslararası toplulukların kararları Türkiye'de nasıl uygulanır?,"Bu toplulukların yetkili organlarının aldıkları kararlar, Türk Hukukunun müsaade ettiği ölçüde Türkiye’de uygulanır."
Yasama yetkisi kime aittir?,Yasama yetkisi Türk Milleti adına Türkiye Büyük Millet Meclisinindir.
Yasama yetkisi devredilebilir mi?,"Hayır, yasama yetkisi devredilemez."
Türkiye Büyük Millet Meclisi hangi yetkiye sahiptir?,Türkiye Büyük Millet Meclisi yasama yetkisine sahiptir.
Yasama yetkisi hangi millet adına kullanılmaktadır?,Yasama yetkisi Türk Milleti adına kullanılmaktadır.
Yasama yetkisi hangi anayasa maddesinde belirtilmiştir?,Yasama yetkisi Anayasa'nın 7. maddesinde belirtilmiştir.
Yasama yetkisi kime aittir?,Yasama yetkisi Türk Milleti adına Türkiye Büyük Millet Meclisinindir.
Yasama yetkisi devredilebilir mi?,"Hayır, yasama yetkisi devredilemez."
Danışma Meclisinin kabul ettiği metne göre yasama yetkisi neden devredilemez?,"Yasama yetkisi, nüfusu milyonlara varan modern devletlerde, demokrasi rejimini benimseyen siyasî rejimlerde kaçınılmaz bir durum olduğu için devredilemez."
"Millî Güvenlik Konseyi Anayasa Komisyonu, yasama yetkisine dair hangi değişikliği yapmıştır?","Millî Güvenlik Konseyi Anayasa Komisyonu, maddenin ikinci fıkrasındaki Cumhurbaşkanına ve Bakanlar Kuruluna verilen kanun hükmünde kararname çıkarma yetkisini madde metninden çıkarmıştır."
Anayasa ile Cumhurbaşkanına ve Bakanlar Kuruluna verilen yetki neden madde metninden çıkarılmıştır?,Bu yetkinin amaç ve kapsamı Anayasanın ilgili maddelerinde açıkça belirtildiği için madde metninden çıkarılmıştır.
Yürütme yetkisi ve görevi kim tarafından kullanılır?,"Yürütme yetkisi ve görevi, Cumhurbaşkanı tarafından kullanılır."
Yürütme yetkisi ve görevi hangi yasalara uygun olarak yerine getirilir?,"Yürütme yetkisi ve görevi, Anayasaya ve kanunlara uygun olarak yerine getirilir."
Yürütme yetkisi ve görevi hangi madde ile düzenlenmiştir?,"Yürütme yetkisi ve görevi, Anayasa'nın 8. maddesi ile düzenlenmiştir."
Anayasa'nın 8. maddesinde yürütme yetkisi ve görevi ile ilgili hangi değişiklik yapılmıştır?,Anayasa'nın 8. maddesinde yürütme yetkisi ve görevi ile ilgili 21/1/2017 tarihinde 6771/16. madde ile değişiklik yapılmıştır.
Yürütme yetkisi ve görevi hangi tarihte değişikliğe uğramıştır?,"Yürütme yetkisi ve görevi, 21/1/2017 tarihinde değişikliğe uğramıştır."
Yürütme yetkisi ve görevi kimler tarafından kullanılır?,"Yürütme yetkisi ve görevi, Cumhurbaşkanı ve Bakanlar Kurulu tarafından kullanılır."
1961 Anayasası'nda yürütme kuvveti nasıl düzenlenmiştir?,"1961 Anayasası'nda yürütme kuvveti, devletin yönetiminde yasama kuvvetine bağlı, yasamaya tabi bir kuvvet olarak düzenlenmiştir."
Yürütme kuvvetinin yetkileri neden sınırlanmaya çalışılmıştır?,"Yürütme kuvvetinin yetkileri, fertlerin hak ve özgürlüklerini korumak için sınırlanmaya çalışılmıştır."
Parlamenter hükümet sistemi hangi gerekçeyle uygulanmaya konmuştur?,"Parlamenter hükümet sistemi, yürütme ve yasama kuvvetlerinin devlet faaliyetlerinin düzenlenmesinde eşitlik ve denklik içinde işbirliği yapmalarını sağlamak amacıyla uygulanmaya konmuştur."
1961 ile 1980 arasındaki hükümetlerin durumu nasıldı?,"1961 ile 1980 arasındaki devrede, karar almak kudretinden yoksun hükümetler görülmüştür."
Yürütme yetkisi ve görevi kim tarafından kullanılır?,"Yürütme yetkisi ve görevi, Cumhurbaşkanı tarafından, Anayasaya ve kanunlara uygun olarak kullanılır ve yerine getirilir."
Kanun teklifinin 19. maddesi hangi değişikliği içeriyor?,"Kanun teklifinin 19. maddesi, 2709 sayılı Kanunun 8. maddesinde yer alan 've Bakanlar Kurulu' ibaresinin madde metninden çıkarılmasını içeriyor."
Anayasa değişiklik teklifi hangi madde numarasıyla kabul edilmiştir?,"Anayasa değişiklik teklifi, çerçeve 19’uncu madde teselsül sebebiyle çerçeve 16’ncı madde olarak kabul edilmiştir."
Anayasa Komisyonunun kabul ettiği metinde hangi değişiklik yapılmıştır?,"Anayasa Komisyonunun kabul ettiği metinde, 2709 sayılı Kanunun 8. maddesinde yer alan 've Bakanlar Kurulu' ibaresi madde metninden çıkarılmıştır."
Anayasa değişiklik teklifi neden yapılmıştır?,"Anayasa değişiklik teklifi, önerilen hükümet sistemine uyum sağlamak amacıyla yapılmıştır."
hayır,hayır
Yargı yetkisi kim adına kullanılır?,"Yargı yetkisi, Türk Milleti adına kullanılır."
Yargı yetkisini kimler kullanır?,"Yargı yetkisi, bağımsız ve tarafsız mahkemelerce kullanılır."
Anayasanın yargı yetkisi ile ilgili maddesi ne zaman değişmiştir?,Anayasanın yargı yetkisi ile ilgili maddesi 21 Ocak 2017 tarihinde değişmiştir.
Yargı yetkisi hangi anayasa maddesinde düzenlenmiştir?,"Yargı yetkisi, Türkiye Cumhuriyeti Anayasası'nın 9. maddesinde düzenlenmiştir."
Yargı yetkisi hangi anayasa değişikliği ile güncellenmiştir?,"Yargı yetkisi, 6771 sayılı anayasa değişikliği ile güncellenmiştir."
Yargı yetkisi hangi organlar tarafından kullanılır?,"Yargı yetkisi, Türk Milleti adına bağımsız mahkemelerce kullanılır."
Danışma Meclisinin kabul ettiği metinde yargı yetkisi nasıl tanımlanmıştır?,"Danışma Meclisinin kabul ettiği metinde yargı yetkisi, Türk Milleti adına bağımsız mahkemelerce kullanılır şeklinde tanımlanmıştır."
Yargı yetkisi hangi tarihten beri bağımsız organlar tarafından yerine getirilmektedir?,"Yargı yetkisi, fert, hak ve hürriyetleri sorununun ortaya çıktığı günden beri bağımsız organlar tarafından yerine getirilmektedir."
Millî Güvenlik Konseyi Anayasa Komisyonu hangi metni aynen kabul etmiştir?,"Millî Güvenlik Konseyi Anayasa Komisyonu, Danışma Meclisi metninin 9 uncu maddesini aynen kabul etmiştir."
