soru,cevap
İl ve ilçelerin hangi özellikleri göz önünde bulundurularak millî eğitim müdürlükleri farklı tip ve statülerde kurulabilir?,"İl ve ilçelerin sosyal ve ekonomik gelişme durumları, nüfusları ve öğrenci sayıları göz önünde bulundurularak millî eğitim müdürlükleri farklı tip ve statülerde kurulabilir."
Millî eğitim müdürlüklerine bağlı olarak hangi birimler kurulabilir?,İş durumuna ve ihtiyaca göre Bakanlık ana hizmet birimlerine bağlı olarak ayrı il ve ilçe birimleri kurulabilir.
Millî eğitim müdürlüklerine farklı yetkiler verilebilir mi?,"Evet, millî eğitim müdürlüklerine farklı yetkiler verilebilir."
Hangi kanun hükmünde kararnameye göre millî eğitim müdürlüklerine bağlı birimler kurulabilir?,652 sayılı Kanun Hükmünde Kararnameye göre millî eğitim müdürlüklerine bağlı birimler kurulabilir.
İl Millî Eğitim Müdürlükleri teşkilat yapısında hangi pozisyonlar bulunmaktadır?,"İl Millî Eğitim Müdürlükleri teşkilat yapısında Müdür Yardımcısı, Şube Müdürü, ve Sivil Savunma Uzmanı pozisyonları bulunmaktadır."
"Bakanlık, yurtdışı teşkilatını hangi kanun hükmünde kararnameye göre kurmaya yetkilidir?","Bakanlık, 13.12.1983 tarihli ve 189 sayılı Kamu Kurum ve Kuruluşlarının Yurtdışı Teşkilatı Hakkında Kanun Hükmünde Kararname esaslarına uygun olarak yurtdışı teşkilatı kurmaya yetkilidir."
"Millî Eğitim Bakanlığı, hangi ülkelerde eğitim müşavirliği ve ataşeliği bulundurmaktadır?","Millî Eğitim Bakanlığı, Almanya, ABD, Avusturya, Avustralya, Azerbaycan, Belçika, Bulgaristan, Danimarka, Fransa, Gürcistan, Hollanda, İngiltere, İsveç, İsviçre, Kazakistan, Kırgızistan, KKTC, Mısır, Özbekistan, Rusya, Suudi Arabistan ve Türkmenistan olmak üzere 22 ülkede eğitim müşavirliği ve ataşeliği bulundurmaktadır."
"Millî Eğitim Bakanlığının görevlerinden biri, eğitim sistemini nasıl tasarlamaktır?","Millî Eğitim Bakanlığının görevlerinden biri, eğitim sistemini yeniliklere açık, dinamik, ekonomik ve toplumsal gelişimin gerekleriyle uyumlu biçimde güncel teknik ve modeller ışığında tasarlamak ve geliştirmektir."
"Millî Eğitim Bakanlığı, eğitime erişimi nasıl kolaylaştırmayı hedeflemektedir?","Millî Eğitim Bakanlığı, eğitime erişimi kolaylaştıran, her vatandaşın eğitim fırsat ve imkânlarından eşit derecede yararlanabilmesini teminat altına alan politika ve stratejiler geliştirmeyi, uygulamayı, uygulanmasını izlemeyi ve koordine etmeyi hedeflemektedir."
"Millî Eğitim Bakanlığının, kız öğrencilerin ve özürlülerin eğitime katılımını yaygınlaştırmak için ne tür stratejiler geliştirmesi beklenmektedir?","Millî Eğitim Bakanlığının, kız öğrencilerin, özürlülerin ve toplumun özel ilgi bekleyen diğer kesimlerinin eğitime katılımını yaygınlaştıracak politika ve stratejiler geliştirmesi, uygulaması ve uygulanmasını koordine etmesi beklenmektedir."
Türk Millî Eğitiminin genel amacı nedir?,"Türk Millî Eğitiminin genel amacı, Türk milletinin bütün fertlerini Atatürk inkılap ve ilkelerine ve Anayasada ifadesini bulan Atatürk milliyetçiliğine bağlı, Türk Milletinin millî, ahlaki, insani, manevi ve kültürel değerlerini benimseyen, koruyan ve geliştiren; ailesini, vatanını, milletini seven ve daima yüceltmeye çalışan, insan haklarına ve Anayasanın başlangıcındaki temel ilkelere dayanan demokratik, laik ve sosyal bir hukuk Devleti olan Türkiye Cumhuriyetine karşı görev ve sorumluluklarını bilen ve bunları davranış haline getirmiş yurttaşlar olarak yetiştirmektir."
Eğitim sisteminin amaçları nasıl saptanır?,"Eğitim sisteminin amaçları, sistemin politikasına ve işlevine uygun olarak sistem bütünlüğünü koruyacak, kendi içinde tutarlı ve temel gereksinimleri karşılayacak şekilde saptanır."
Türk millî eğitiminin amaçları hangi kanunda belirtilmiştir?,Türk millî eğitiminin amaçları 1739 Sayılı Millî Eğitim Temel Kanunu’nda belirtilmiştir.
Eğitimin genel amaçları nelerdir?,Genel olarak toplumda eğitim aracılığıyla kazandırılması istenen nitelik ya da özellikler eğitimin genel amaçlarıdır.
Türk Millî Eğitiminin temel ilkeleri nelerdir?,"Türk Millî Eğitiminin temel ilkeleri, Atatürk inkılap ve ilkelerine bağlılık, millî, ahlaki, insani, manevi ve kültürel değerleri benimseme, insan haklarına ve Anayasanın başlangıcındaki temel ilkelere dayanan demokratik, laik ve sosyal bir hukuk devleti olan Türkiye Cumhuriyetine karşı görev ve sorumluluk bilincidir."
Türk Millî Eğitiminin amacı nedir?,"Türk Millî Eğitiminin amacı, beden, zihin, ahlak, ruh ve duygu bakımlarından dengeli ve sağlıklı şekilde gelişmiş bireyler yetiştirmek, insan haklarına saygılı ve topluma karşı sorumluluk duyan kişiler olarak yetiştirmek, ayrıca Türk Milletini çağdaş uygarlığın yapıcı, yaratıcı bir ortağı yapmaktır."
Eğitimde fırsat ve imkân eşitliği nasıl sağlanır?,"Eğitimde kadın ve erkek herkese fırsat ve imkân eşitliği sağlanır; eğitim kurumları dil, ırk, cinsiyet ve din ayırımı gözetilmeksizin herkese açıktır."
Millî eğitim hizmeti nasıl düzenlenir?,"Millî eğitim hizmeti, Türk vatandaşlarının istek ve kabiliyetleri ile Türk toplumunun ihtiyaçlarına göre düzenlenir."
Atatürk İnkılap ve İlkeleri eğitim sisteminde nasıl yer alır?,Eğitim sistemimizin her derece ve türü ile ilgili ders programlarının hazırlanıp uygulanmasında ve her türlü eğitim faaliyetlerinde Atatürk İnkılâp ve İlkeleri ile Anayasada ifadesini bulmuş olan Atatürk milliyetçiliği temel alınır.
Temel eğitim hakkı kimlere tanınmıştır?,Temel eğitim görmek her Türk vatandaşının hakkıdır.
Türk millî eğitiminde hangi ilke esastır?,Türk millî eğitiminde lâiklik esastır.
Demokrasi bilincinin öğrencilere kazandırılması için hangi unsurlar önemlidir?,"Demokrasi bilincinin kazandırılması için yurt yönetimine ait bilgi, anlayış ve davranışlarla sorumluluk duygusu ve manevi değerlere saygı önemlidir."
Eğitimde verimliliğin artırılması nasıl sağlanır?,Eğitimde verimliliğin artırılması bilimsel araştırma ve değerlendirmelere dayalı olarak sağlanır.
Milli eğitimin amaçları nerelerde gerçekleştirilmeye çalışılır?,"Milli eğitimin amaçları resmi ve özel eğitim kurumları dışında evde, çevrede, işyerlerinde, her yerde ve her fırsatta gerçekleştirilmeye çalışılır."
Türkiye'de eğitim sistemi hangi belgelerle düzenlenmiştir?,"Türkiye'de eğitim sistemi, Millî Eğitim Bakanlığının Teşkilât ve Görevleri Hakkında Kanun, Millî Eğitim Temel Kanunu, Kalkınma Planları, Hükümet Programları, Millî Eğitim Şûra Kararları, Ulusal Program, AB Müktesebatı ve diğer mevzuatla düzenlenmiştir."
Türk eğitim sistemi hangi kanuna göre şekillenmiştir?,"Türk eğitim sistemi, 1739 sayılı Millî Eğitim Temel Kanununa göre şekillenmiştir."
Örgün eğitim hangi eğitim seviyelerini kapsar?,"Örgün eğitim; okul öncesi, ilkokul, ortaokul, ortaöğretim ve yükseköğretim kurumlarını kapsar."
Okul öncesi eğitimin amacı nedir?,"Okul öncesi eğitimin amacı; çocukların bedensel, zihinsel, duygusal gelişimini ve iyi alışkanlıklar kazanmasını, onların ilköğretime hazırlanmasını, koşulları elverişsiz çevrelerden gelen çocuklar için ortak bir yetişme ortamı sağlanmasını, Türkçenin doğru ve güzel konuşulmasını sağlamaktır."
Mecburi ilköğretim çağı hangi yaş grubunu kapsar?,Mecburi ilköğretim çağı 6-13 yaş grubundaki çocukları kapsar.
İlköğretim kurumları hangi okullardan oluşur?,İlköğretim kurumları; dört yıl süreli ve zorunlu ilkokullar ile dört yıl süreli zorunlu ve farklı programlar arasında tercihe imkân veren ortaokullar ile imam hatip ortaokullarından oluşur.
Ortaöğretimin amacı nedir?,"Ortaöğretimin amacı, öğrencilere genel kültür kazandırmak, onları yükseköğretime veya hayata ve iş alanlarına hazırlamak ve toplum ihtiyaçları ile denge sağlamaktır."
Genel ortaöğretim nedir?,"Genel ortaöğretim, ilköğretime dayalı en az dört yıllık zorunlu eğitimle öğrencilere genel kültür kazandıran ve onları yükseköğretime ya da geleceğe hazırlayan eğitim sürecidir."
Mesleki ve teknik ortaöğretim neyi hedefler?,"Mesleki ve teknik ortaöğretim, öğrencilere genel kültür kazandırmanın yanı sıra onları yükseköğretime, mesleğe veya iş alanlarına hazırlamayı hedefler."
Din öğretimi hangi yasal düzenlemelere dayanır?,"Din öğretimi, Anayasanın 24. maddesi ve 1739 sayılı Millî Eğitim Temel Kanunun 12. maddesi doğrultusunda düzenlenmiştir."
Özel Eğitim ve Rehberlik Hizmetleri neyi amaçlar?,"Özel Eğitim ve Rehberlik Hizmetleri, bireylerin kendini geliştirmeleri için rehberlik ve psikolojik danışma hizmetlerini nitelikli hale getirmeyi ve özel gereksinimleri olan bireylerin gelişimlerini desteklemeyi amaçlar."
Yükseköğretim nedir?,"Yükseköğretim, ortaöğretime dayalı en az iki yıllık yükseköğrenim veren eğitim kurumlarının tümünü kapsar."
Yükseköğretimin amaçlarından biri nedir?,"Öğrencileri, ilgi, istidat ve kabiliyetleri ölçüsünde yurdumuzun bilim politikasına ve toplumun insan gücü ihtiyaçlarına göre yetiştirmektir."
Yükseköğretim kurumları nelerdir?,"Üniversiteler, fakülteler, enstitüler, yüksekokullar, konservatuarlar, meslek yüksekokulları ve uygulama ve araştırma merkezleridir."
Yükseköğretim hangi sorunları çözmek için çalışmalar yapar?,"Yurdumuzu ilgilendiren bilimsel, teknik ve kültürel sorunları çözmek için çalışmalar yapar."
Yükseköğretimin toplum üzerindeki etkisi nedir?,Türk toplumunun genel seviyesini yükseltici ve kamuoyunu aydınlatıcı bilimsel verileri halka yaymak ve yaygın eğitim hizmetlerinde bulunmaktır.
Yaygın eğitimin özel amacı nedir?,"Yaygın eğitimin özel amacı, millî eğitimin genel amaçlarına ve temel ilkelerine uygun olarak, örgün eğitim sistemine hiç girmemiş olan veya herhangi bir kademesinde bulunan, ya da bu kademeden çıkmış vatandaşlara çeşitli eğitim olanakları sağlamaktır."
Açık Öğretim Ortaokulu kimlere yöneliktir?,"Açık Öğretim Ortaokulu, ilkokulu bitiren ancak herhangi bir nedenle ortaokula devam edememiş vatandaşlara yöneliktir."
Açık Öğretim Lisesi'nde hangi sistem uygulanmaktadır?,Açık Öğretim Lisesi'nde ders geçme ve kredi sistemi ile öğretim verilmektedir.
Mesleki Açık Öğretim Lisesi'nde meslek dersleri nasıl verilmektedir?,Mesleki Açık Öğretim Lisesi'nde meslek dersleri yüz yüze yapılmaktadır.
Yaygın eğitim hangi konularda eğitim olanağı sağlar?,"Yaygın eğitim, okuma-yazma öğretmek, bilimsel, teknolojik, ekonomik, sosyal ve kültürel gelişmelere uyum sağlamak, millî kültür değerlerini korumak, toplu yaşama alışkanlıkları kazandırmak, meslek edindirmek, sağlıklı yaşam tarzını benimsetmek ve boş zamanları yararlı değerlendirme konularında eğitim olanağı sağlar."
Ortaöğretim Genel Müdürlüğünün tarihi hangi gelişmelere paralel olarak şekillenmiştir?,"Ortaöğretim Genel Müdürlüğünün tarihi, Bakanlık teşkilatının tarihine paralel bir gelişme göstermiştir."
İslamiyet öncesi Türk toplumlarında eğitimin önemi neye dayanmaktadır?,"İslamiyet öncesi Türk toplumlarında eğitimin önemi, çocukların toplumsallaştırılıp eğitilmesinde toplumun töresinin önemli bir rol oynamasına dayanmaktadır."
Osmanlı Devleti'nde ortaöğretim düzeyinde kurulan medreseler nelerdir?,"Osmanlı Devleti'nde ortaöğretim düzeyinde kurulan medreseler, Fatih döneminde kurulan Tetimme Medreseleri ve Mûsıla-i Sahn denen 8 medresedir."
Osmanlı Devleti'nde ortaöğretim alanında faaliyet gösteren okulların ortak bir anlayışları var mıydı?,"Hayır, Osmanlı Devleti'nde ortaöğretim alanında faaliyet gösteren okulların yapı ve işleyiş bakımından birbirlerinden habersiz ve birbirlerine kapalı dikey kuruluşlar halinde oldukları için ortak bir anlayışları yoktu."
İslamiyet sonrası Türk toplumlarında hangi eğitim kurumları ortaya çıkmıştır?,"İslamiyet sonrası Türk toplumlarında medrese denen, planlı, düzenli, güçlü bir eğitim kurumu olan okullar ortaya çıkmıştır."
Osmanlı İmparatorluğu'nda ortaöğretim düzeyinde okullar ne zaman kurulmaya başlamıştır?,Osmanlı İmparatorluğu'nda ortaöğretim düzeyinde okullar 1773 yılından itibaren kurulmaya başlamıştır.
Tanzimat öncesi Osmanlı eğitim sisteminde hangi kademeler arasında bir sınıflandırma yoktu?,"Tanzimat öncesi Osmanlı eğitim sisteminde ilk, orta ve yükseköğretim kademeleri arasında bir sınıflandırma yoktu."
1869 yılında yayınlanan Genel Eğitim Tüzüğü ile hangi ortaöğretim okulları getirilmiştir?,1869 yılında yayınlanan Genel Eğitim Tüzüğü ile İdadi ve Sultaniler getirilmiştir.
Mekatib-i Rüştiye Nezareti ne zaman kurulmuştur?,"Mekatib-i Rüştiye Nezareti, 11 Mart 1839 yılında kurulmuştur."
1879 yılında oluşturulan ve bugünkü Ortaöğretim Genel Müdürlüğüne karşılık gelen yapı nedir?,"1879 yılında oluşturulan ve bugünkü Ortaöğretim Genel Müdürlüğüne karşılık gelen yapı, Mekatib-i Rüşdiyye Dairesi'dir."
Mekatib-i Rüşdiyye İdaresi hangi yıl kaldırılmış ve yerine hangi daire kurulmuştur?,1892 yılında Mekatib-i Aliyye Dairesi kaldırılarak yerine Mekatib-i İdadiyye Dairesi kurulmuştur.
Mekatib-i İdadiyye İdaresi hangi tarihte yeniden düzenlenmiştir?,13 Ocak 1909 tarihinde Mekatib-i İdadiyye İdaresi yeniden düzenlenmiştir.
Cumhuriyet Dönemi'nde Ortaöğretim Genel Müdürlüğü'nün 1946 yılındaki adı nedir?,1946 yılında Ortaöğretim Genel Müdürlüğü bugünkü adıyla anılmaktadır.
Tevhid-i Tedrisat Kanunu hangi yılda yürürlüğe girmiştir ve bu kanunla eğitim kurumları nasıl bir değişime uğramıştır?,Tevhid-i Tedrisat Kanunu 1924 yılında yürürlüğe girmiş ve eğitim kurumları üç yıllık ortaokul ve üç yıllık lise haline dönüştürülmüştür.
1973 yılında kabul edilen Millî Eğitim Temel Kanunu ile ortaöğretime bağlı kurumlar ne tür bir değişim geçirmiştir?,1973 yılında kabul edilen Millî Eğitim Temel Kanunu ile ortaöğretime bağlı kurumlar teşkilat içindeki yeri ve bağlı birimleri yeni bir görünüm kazanmıştır.
Heyet-i İlmiye toplantıları hangi amaçla düzenlenmiştir?,Eğitime yön vermek ve sorunları çözmek amacıyla düzenlenmiştir.
Birinci Heyet-i İlmiyede ortaöğretimle ilgili hangi önemli karar alınmıştır?,"""Sultani"" adının ""lise"" olarak değiştirilmesine ve liselerin iki kademeye ayrılmasına karar verilmiştir."
İkinci Heyet-i İlmiye toplantısı hangi yıl yapılmıştır?,1924 yılında yapılmıştır.
İkinci Heyet-i İlmiyede kız ve erkek liseleri arasında nasıl bir eşitlik sağlanmıştır?,Kız liselerinin öğretim süresi erkek liselerine eşit olacak ve programları aynı olacaktır; sadece kızlar ilk kısımda bazı kız meslek dersleri görecektir.
Tevhid-i Tedrisat Kanunu'nun eğitim sistemine etkisi ne olmuştur?,"Eğitim Bakanlığının elindeki okulların sayısını arttırmış, medreseler ve diğer dinî okulları kapatmış ve laik bir eğitim zihniyeti yerleştirilmeye çalışılmıştır."
Bir devreli liseler ne zaman 'Orta mektep' adını alacaktır?,1 Eylül 1924 tarihinde.
Liselerde haftalık ders saati kaç olarak belirlenmiştir?,30 saat olarak belirlenmiştir.
Cumhuriyet döneminin ilk ortaöğretim kurumlarından olan genel liseler hangi tarihte genel liseye dönüştürülmüştür?,3 Mart 1924 yılında.
1926 yılı başında toplanan Heyet-i İlmiye'nin başkanı kimdir?,Maarif Vekili Necati Bey.
Cumhuriyet döneminde genel liselerin amacı nedir?,"Öğrencileri ortaöğretim seviyesinde asgari genel kültüre sahip, toplumun sorunlarını tanıyan, ülkenin ekonomik, sosyal ve kültürel kalkınmasına katkıda bulunan insanlar olarak yetiştirmektir."
1954 yılında hangi illerde yabancı dille eğitim yapacak okulların açılması kararlaştırıldı?,"1954 yılında Eskişehir, İzmir, İstanbul ve Konya'da yabancı dille eğitim yapacak okulların açılması kararlaştırıldı."
Maarif Kolejleri ne zaman Anadolu Lisesi adını almıştır?,"Maarif Kolejleri, 1 Aralık 1975 tarihli genelgeleriyle Anadolu Lisesi adını almıştır."
1955/1956 öğretim yılında açılması planlanan okullara ne isim verilmiştir?,1955/1956 öğretim yılında açılması planlanan okullara Kolej ismi verilmiştir.
1970'li yıllarda Türkiye'de ortaöğretimin yeniden yapılandırılması hangi plan çerçevesinde ele alınmıştır?,1970'li yıllarda Türkiye'de ortaöğretimin yeniden yapılandırılması III. Beş Yıllık Kalkınma Planı çerçevesinde ele alınmıştır.
Samsun ve Diyarbakır'da okul açılması hangi tarihte kararlaştırılmıştır?,"Samsun ve Diyarbakır'da okul açılması, 23 Şubat 1955 tarihli TBMM toplantısında kararlaştırılmıştır."
Ortaöğretimde ders geçme ve kredi sistemine ne zaman geçilmiştir?,1991-92 eğitim öğretim yılında geçilmiştir.
Açık Öğretim Lisesi ne zaman kurulmuştur?,Haziran 1992'de kurulmuştur.
Yabancı dil eğitimi ortaokulda ne zaman zorunlu hale getirilmiştir?,1988-89 eğitim öğretim yılında yabancı dil zorunlu hale getirilmiştir.
Fen ve Anadolu liselerine talep hangi yıllar arasında artmıştır?,1994-2000 yılları arasında artmıştır.
Ortaöğretim kurumlarının öğrenim süresi ne zaman 4 yıl olarak kararlaştırılmıştır?,2005-2006 öğretim yılından itibaren kararlaştırılmıştır.
Avrupa Birliği'nde eğitim alanındaki işbirliği ne zaman başlamıştır?,"Avrupa Birliği'nde eğitim alanındaki işbirliği, 1971 yılında üye ülkelerin eğitim bakanlarının ilk toplantısı ile başlamıştır."
Leonardo Da Vinci programının temel amacı nedir?,"Leonardo Da Vinci programının temel amacı, meslekî eğitimle ilgili farklı kuruluşları içeren uluslararası ortakların projelerini destekleyerek, üye ülkelerin bu alandaki politika ve reform faaliyetlerine katkıda bulunmaktır."
Socrates programının en önemli özelliği nedir?,Socrates programının en önemli özelliği hareketlilik ve karşılıklı değişimdir.
Erasmus+ Programı hangi yıllar arasında yürütülmüştür?,"Erasmus+ Programı, 2014-2020 yılları arasında yürütülmüştür."
