Osmanlı toprak düzeninde çiftçi ailesine verilen arazi büyüklüğü nasıl belirlenmiştir?,"Osmanlı kanunnamelerine göre arazi büyüklüğü, toprağın yetiştirme kabiliyetine göre değişmek üzere verimli yerlerde 60-80, orta verimli yerlerde 80-100 ve kıraç yerlerde ise 100-150 dekar olarak sınırlandırılmıştır."
Osmanlı döneminde en önemli tarım ürünü nedir?,Osmanlı döneminde en önemli ürünler tahıllar olmuştur ve toplam üretimin %90’ını aşan bir oranda tahıl ürünleri oluşturmuştur.
Buğday ihracatının yapıldığı yerler nerelerdir?,"Mısır, Venedik ve Trakya."
Hangi ürünler önemli pazar oluşturan ürünler olmuştur?,"Pirinç, pamuk, kendir, kenevir ve tütün."
Bağcılığın ve meyveciliğin gelişmesindeki neden nedir?,Mir-i arazinin mülk araziye dönüştürülmesi.
Osmanlı İmparatorluğu'nun geniş topraklara sahip olmasının etkisi ne olmuştur?,Ordunun yorulmasına ve modern olmayan tekniklerin kullanılmasına neden olmuştur.
Tımar sisteminin bozulmasının sonuçları nelerdir?,"Tımarlar sipahilerden alınmış ve mültezimlere devredilmiştir, köylüler yoksullaşmıştır."
16. yüzyılın sonuna doğru cebelilerde ne gibi bir değişiklik olmuştur?,Cebelilerin sayısı 150-200 binden 8 bine düşmüştür.
Mültezimlik sisteminin tarıma etkisi nedir?,Tarımda modernleşmeyi engellemiş ve çiftçiyi içe dönük üretime yöneltmiştir.
Osmanlı İmparatorluğu'nun Avrupa'daki enflasyon nedeniyle nasıl bir duruma dönüştüğü belirtilmiştir?,"Osmanlı İmparatorluğu, Avrupa'daki enflasyon nedeniyle ucuz gıda maddesi ve hammadde ithal edilen bir pazar durumuna dönüşmüştür."
Tımar sisteminin çökmesinden sonra kırsal alana yönelik hangi hizmetler filizlenmeye başlamıştır?,Tımar sisteminin çökmesinden sonra kırsal alana yönelik hizmetler filizlenmeye başlamıştır.
Ayanlar 1808 yılında II. Mahmut'a hangi belgeyi imzalatmışlardır?,Ayanlar 1808 yılında II. Mahmut'a 'sened-i ittifak' imzalatmışlardır.
Tanzimat Fermanı ile hangi sistem kaldırılmıştır?,Tanzimat Fermanı ile tımar sistemi kaldırılmıştır.
1847 yılında çıkarılan tebliğ ile toprak mirası konusunda hangi değişiklik yapılmıştır?,1847 yılında çıkarılan tebliğ ile toprak mirasının yalnızca babadan uygun olan oğula geçmesi kaldırılmış ve kız evlatların da mirastan pay alması kabul edilmiştir.
1858 yılında çıkarılan arazi kanunnamesi kimler tarafından hazırlanmıştır?,"1858 yılında çıkarılan arazi kanunnamesi Ahmet Cevdet Paşa, Mehmet Rüştü Paşa, Arif Bey ve Tahsin Bey’den oluşan bir kurul tarafından hazırlanmıştır."
Mülk topraklar (Araziyi Memluke) nasıl tanımlanmıştır?,"Mülk topraklar, tasarrufu ve geliri tamamen mülk sahibine ait olan topraklar olarak tanımlanmıştır."
Haraçlı arazi nedir?,Savaşı kaybeden hıristiyan halka öz mülk niteliğinde bırakılan ve ayni ve nakti vergi yükümlülükleri olan topraklardır.
Mir-i toprakların mülkiyeti kime aittir?,Mir-i toprakların çıplak mülkiyeti devlete aittir.
Vakıf topraklarının özelliği nedir?,"Vakıf toprakları, mülk topraklar özelliğini taşıyan ancak, tüm gelirleri dini amaçlı olan ve mülkiyet ile ilgili her türlü değişiklikleri yasaklanmış topraklardır."
1858 arazi kanunnamesi mir-i topraklar üzerinde ne gibi değişiklikler getirmiştir?,"1858 arazi kanunnamesi ile mir-i toprakların mülkiyeti devlette kalmış, tasarruf hakkı köylüye verilmiş ve köylüye topraktan yararlanma hakkını devretme imkanı tanınmıştır."
1911 yılında çıkarılan kanun mir-i araziler için neyi mümkün kılmıştır?,1911 yılında çıkarılan kanun ile köylünün tasarrufunda bulunan mir-i araziyi ipotek edilebilir ve borç karşılığı satılabilir hale getirmiştir.
Osmanlı İmparatorluğu'nda pamuk tarımı neden rekabet edememiştir?,Dokuma sanayinin gelişmemiş olması nedeniyle diğer ülkelerle rekabet şansı azalmış ve yalnızca ham pamuk ihracatı yapılabilmiştir.
Tanzimat fermanı ile teşvik edilen ürünlerden biri nedir?,Tanzimat fermanı ile teşvik edilen ürünlerden biri merinos yetiştiriciliğidir.
Kapütülasyon dönemi tarım ekonomisinde hangi ürünlerden ne kadar ithal edilmiştir?,"1878-1913 yılları arasında her yıl ortalama 75 bin ton un, 65 bin ton pirinç ve 10 bin ton buğday ithal edilmiştir."
Kapütülasyon dönemi tarım ekonomisinde ithalat için ne kadar ödeme yapılmıştır?,Her yıl yaklaşık 12 milyon altın lira ödenmiştir.
Kapütülasyon döneminde hangi tarım alanında altyapı yatırımları yapılmıştır?,"Sulama çalışmaları tamamlanmış, ancak bazı nehir ıslahı çalışmalarına başlanamamıştır."
Kapütülasyon döneminde tarım alanında hangi eğitimsel atılımlar yapılmıştır?,Tarım okullarının açılması gibi atılımlar bu yıllarda başlamıştır.
Kapütülasyon döneminde üreticilere hangi destekler sağlanmıştır?,Üreticiye tohumluk dağıtılması ve üreticinin kredilendirilmesi çalışmaları yapılmıştır.
Kapütülasyon dönemi tarım ekonomisi ile ilgili hangi kaynağa başvurulmuştur?,"Tokgöz, E., 1995. Türkiye’nin İktisadi Gelişme Tarihi, Hacettepe Üniversitesi İİBF Yayınları, Yayın No:16, Ankara."
Kapütülasyon dönemi tarım ekonomisi hangi yıllar arasında incelenmiştir?,1878-1913 yılları arasında incelenmiştir.
Türkiye'de tarım sektörünün GSMH içindeki payı 1923'te ne kadardı?,%42.8
Tarım sektörünün istihdamdaki payı 1980'de ne kadardı?,%50.6
Tarım sektörünün ortalama büyüme oranı 1988-2002 döneminde neydi?,%1.1
Türkiye'nin tarım ürünleri ithalatındaki payı 1980'de ne kadardı?,%0.6
Türkiye hangi tarım ürünlerini ihraç etmektedir?,"Fındık, kuru incir, çekirdeksiz kuru üzüm, Antep fıstığı, kuru kayısı, tütün, zeytinyağı, pamuk, baklagil, yaş meyve-sebze"
Türkiye'nin ithal ettiği başlıca tarımsal ürünler nelerdir?,"Buğday, mısır, pirinç, yağlı tohumlar, pamuk, canlı hayvan ve et"
Tarım sektörünün ihracattaki payı Uluslararası Sanayi Sınıflamasına göre ne kadardır?,%10.3
1997 yılında sabit sermaye yatırımlarının GSMH'ye oranı nedir?,%26.3
2005 yılı için sabit sermaye yatırımlarının GSMH'ye oranı ne olarak programlanmıştır?,%27.4
2003 yılında sabit sermaye yatırımlarında en büyük payı hangi sektör almıştır?,İmalat sektörü
Türkiye'de arazilerin ne kadarı 1000 metrenin üstünde yükseltiye sahiptir?,%55.9
Türkiye'de en az yıllık sıcaklık farkı hangi bölgede görülür?,Doğu Karadeniz kıyılarında
Türkiye'de hangi iklim tipleri görülmektedir?,"Karadeniz, Akdeniz ve karasal iklim"
Türkiye'de yıllık ortalama yağış bakımından bölgeler arasında nasıl farklılıklar vardır?,"Bazı bölgelerde ortalama yağış 2500 mm'yi bulurken, bazı bölgelerde 250 mm'nin altına inmektedir."
Türkiye'de en fazla yağış alan yer neresidir ve yıllık yağış miktarı ne kadardır?,En fazla yağış alan yer Rize çevresidir ve yıllık yağış miktarı 2400 mm'den fazladır.
Türkiye'de orta derecede yağış alan bölgeler hangileridir?,"Orta derecede yağış alan bölgeler Akdeniz, Ege, Marmara, Orta Karadeniz, Doğu Anadolu ve İç Anadolu'nun kuzey kesimleridir."
En az yağış alan yerler nerelerdir ve bu yerlerde yıllık yağış miktarı ne kadardır?,En az yağış alan yerler Tuz Gölü çevresi ile Iğdır Ovası civarıdır ve yıllık yağış miktarı 250 mm'nin altındadır.
Karadeniz Bölgesi'nin yağış durumu diğer bölgelerden nasıl farklılık gösterir?,"Karadeniz Bölgesi her mevsim yağışlıdır, diğer bölgelerde ise kurak dönemler yaz mevsimine, yağışlı dönemler ise kış mevsimine rastlar."
Türkiye'de toplam arazinin yüzde kaçı I+II+III. sınıf topraklardan oluşmaktadır?,Toplam arazinin %24.5'i I+II+III. sınıf topraklardan oluşmaktadır.
Türkiye'deki tarım arazilerinin toplam hektar alanı nedir?,Türkiye'nin tarım arazileri toplam 26.3 milyon hektardır.
Türkiye'de bitkisel üretim alanlarının yüzde kaçı tarla ürünleri için kullanılmaktadır?,Bitkisel üretim alanlarının %69'u tarla ürünleri için kullanılmaktadır.
Türkiye'de 1960 yılında ortalama işletme arazisi ne kadardı?,1960 yılında ortalama işletme arazisi 55.3 dekar idi.
2001 yılında ortalama işletme arazisi kaç dekara yükseldi?,2001 yılında ortalama işletme arazisi 61 dekara yükseldi.
Türkiye'de tarım işletmelerinin %80'inden fazlası hangi tür işletmelerdir?,Türkiye'de tarım işletmelerinin %80'inden fazlası küçük işletmelerdir.
1952-1980 yılları arasında tarım arazilerinin parsel sayısı ne kadar artmıştır?,1952-1980 yılları arasında tarım arazilerinin parsel sayısı 15.7 milyondan 22.9 milyona yükselmiştir.
2001 yılında Türkiye'de tarla arazisi toplam işlenen alanların yüzde kaçını oluşturmaktadır?,2001 yılında Türkiye genelinde tarla arazisi toplam işlenen alanların %22.78'ini oluşturmaktadır.
Marmara Bölgesinde tarla arazisi oranı nedir?,Marmara Bölgesinde tarla arazisi oranı %30.16'dır.
Karadeniz Bölgesinde tarla arazisi oranı nedir?,Karadeniz Bölgesinde tarla arazisi oranı %13.79'dur.
Diğer uzun ömürlü bitkilerin alanının en yüksek olduğu bölge hangisidir?,Karadeniz Bölgesidir.
Tarım arazisi olarak kullanılmayan alan oranının en düşük olduğu bölge hangisidir?,Akdeniz Bölgesidir.
2001 yılında tarımsal işletmelerin yüzde kaçında hem bitkisel üretim hem de hayvan yetiştiriciliği yapılmaktadır?,%67.42
Yalnız kendi arazisini işleten işletmelerin en fazla olduğu bölge hangisidir?,Güneydoğu Bölgesi
Sulamadan yararlanılan kaynakların yeterli olduğunu belirten yerleşim yerlerinin oranı hangi bölgede en düşüktür?,Karadeniz Bölgesinde %7.14 ile en düşüktür.
Tarla tarımı ekiliş alanının yüzde kaçını tahıllar oluşturmaktadır?,%75
Türkiye'nin toplam tarımsal üretim değerinin büyük bölümü hangi üretim türü tarafından oluşturulmaktadır?,Bitkisel üretim değeri tarafından oluşturulmaktadır.
2001 yılında Türkiye'de buğday ekim alanı ne kadardır?,9350000
2003 yılında Türkiye'de nohut ekim alanı ne kadardır?,630000
2002 yılında Türkiye'de pamuk ekim alanı ne kadardır?,721077
2003 yılında Türkiye'de ayçiçeği ekim alanı ne kadardır?,545000
2001 yılında Türkiye'de kuru soğan ekim alanı ne kadardır?,99500
1987-2000 döneminde hangi bölgede tarımın payı artış göstermiştir?,Güney Doğu Anadolu
2003 yılında Türkiye'de patates ekim alanı ne kadardır?,195000
2001 yılında bitkisel üretimin piyasa fiyatlarıyla üretim değeri ne kadardır?,2001 yılında bitkisel üretimin piyasa fiyatlarıyla üretim değeri 6722.70 milyon €'dur.
2000 yılında Marmara bölgesinin toplam katma değer içinde tarımın payı nedir?,2000 yılında Marmara bölgesinin toplam katma değer içinde tarımın payı %5.30'dur.
1996/1998 yılları arasında Ege bölgesinin Türkiye tarımsal katma değeri içindeki payı nedir?,1996/1998 yılları arasında Ege bölgesinin Türkiye tarımsal katma değeri içindeki payı %21.22'dir.
2003 yılı itibarıyla Türkiye'de buğday ekim alanlarının toplam tahıl ekim alanları içindeki yüzdesi nedir?,2003 yılı itibarıyla Türkiye'de buğday ekim alanları toplam tahıl ekim alanlarının %68'ini kapsamaktadır.
Tahıl üretiminin Türkiye ekonomisindeki önemi nedir?,"Tahıl üretimi, Türkiye ekonomisinin temelini oluşturmakta ve geniş bir üretici kitlesini ilgilendirmektedir. İnsan ve hayvan beslenmesinde büyük önem taşır ve ihracat açısından da önemlidir."
2000 yılında Türkiye genelinde tarımın toplam katma değer içindeki payı nedir?,2000 yılında Türkiye genelinde tarımın toplam katma değer içindeki payı %13.44'tür.
2003 yılında dünya genelinde arpa üretimi ne kadardır?,2003 yılında dünya genelinde arpa üretimi 41.5 milyon tondur.
1999 yılında Türkiye'de hangi tahıl en yüksek üretim miktarına sahiptir?,"1999 yılında Türkiye'de en yüksek üretim miktarına sahip tahıl buğdaydır, üretim miktarı 9,380,000 tondur."
2000 yılında Türkiye'de buğdayın toplam tahıl üretimindeki yüzdesi nedir?,2000 yılında Türkiye'de buğdayın toplam tahıl üretimindeki yüzdesi %67.36'dır.
2001 yılında Türkiye'de buğday ekim alanı kaç hektardır?,"2001 yılında Türkiye'de buğday ekim alanı 9,350,000 hektardır."
2003 yılında Türkiye'de arpa üretim miktarı ne kadardır?,"2003 yılında Türkiye'de arpa üretim miktarı 3,450,000 tondur."
Türkiye'de 1966-70 yılları arasında buğday verimi kaç kg/ha olarak gerçekleşmiştir?,Türkiye'de 1966-70 yılları arasında buğday verimi 1197 kg/ha olarak gerçekleşmiştir.
Türkiye'nin ele alınan dönemde buğday ihracatında önemli olduğu ülkeler hangileridir?,"Türkiye'nin ele alınan dönemde buğday ihracatında önemli olduğu ülkeler Tunus, İtalya, Romanya, Mısır, Bangladeş ve Cezayir'dir."
Arpa hangi sanayiler için önemli bir hammaddedir?,"Arpa, karma yem ve bira sanayisi için önemli bir hammaddedir."
Türkiye'de arpa üretiminin en yüksek olduğu bölgeler hangileridir?,"Ortagüney Anadolu, Ortakuzey Anadolu ve Güneydoğu Anadolu bölgeleridir."
2003 yılında Türkiye'nin arpa üretimi ne kadardır?,8.1 milyon ton
1998 yılında Türkiye'nin buğday ihracatı ne kadardır?,1109347 ton
1998 yılında Türkiye'nin arpa ithalatı ne kadardır?,191836 ton
1992-2003 yılları arasında Türkiye'de mısır üretimi ne kadar artmıştır?,2.2 milyon tondan 2.8 milyon tona yükselmiştir.
Türkiye'nin arpa ihracatında ilk sırayı hangi ülkeler almaktadır?,"Ortadoğu ülkeleri (Suudi Arabistan, Ürdün ve Birleşik Arap Emirlikleri)"
2003 yılında Türkiye'nin buğday ithalatı ne kadardır?,1838739 ton
1992 yılında Türkiye'de mısır ekim alanı ne kadardır?,525 bin hektar
2003 yılında Türkiye'nin mısır ihracatı ne kadardır?,10988 ton
2003 yılında Türkiye'nin mısır ithalatı hangi ülkelerden yapılmaktadır?,"ABD, Arjantin, Romanya ve Ukrayna"
Türkiye'de çeltik üretiminde hangi bölgeler ilk sıralarda yer almaktadır?,"Marmara, Karadeniz, Ortakuzey ve Ege Bölgesi"
2003 yılında Türkiye'nin pirinç ithalatı ne kadardır?,385293 ton
2003 yılında Türkiye'nin pirinç ithalatında en önemli ülke hangisidir?,ABD
Türkiye'de pamuk üretimi için elverişli bölgeler hangileridir?,"Ege, Güneydoğu, Akdeniz ve bir kısım Doğu ve Orta Anadolu illeri"
1997 yılında Türkiye'de pamuk ekiliş alanı ne kadardır?,721723 hektar
2000 yılında Türkiye'nin pamuk üretimi kaç tondur?,879940 ton
2003 yılında Türkiye'nin pamuk verimi ne kadardır?,1324 kg/ha
1999 yılında Türkiye'nin pamuk ithalatı kaç dolardır?,351436 bin dolar
2002 yılında Türkiye'nin pamuk ihracatı kaç dolardır?,38397 bin dolar
2003 yılında dünya genelinde toplam baklagil üretimi ne kadardır?,56 milyon ton
Türkiye'nin baklagil üretiminin artışında hangi projeler etkili olmuştur?,Nadas Alanlarının Daraltılması Araştırma ve Yayım Projesi ile İkinci Ürün Projeleri
2003 yılında Türkiye'de toplam bakliyat üretimi ne kadardır?,"2003 yılında Türkiye'de toplam bakliyat üretimi 1,577,000 tondur."
2003 yılında Türkiye'de en fazla üretilen bakliyat ürünü nedir ve üretim miktarı ne kadardır?,"2003 yılında Türkiye'de en fazla üretilen bakliyat ürünü nohut olup, üretim miktarı 600,000 tondur."
Baklagillerin tarla ürünleri içerisindeki önemi nedir?,"Baklagiller, tarla ürünleri içerisinde tahıllardan sonra en önemli yeri tutmaktadır."
"2003 yılında Türkiye'de mercimek, nohut ve fasulye toplam bakliyat üretiminin yüzde kaçını oluşturmaktadır?","2003 yılında Türkiye'de mercimek, nohut ve fasulye toplam bakliyat üretiminin %89'unu oluşturmaktadır."
Türkiye'de hangi bölgelerde bakliyat üretimi en yoğun olarak yapılmaktadır?,"Türkiye'de bakliyat üretimi en yoğun olarak Güneydoğu Anadolu, Orta Anadolu ve Geçit bölgeleri ile Marmara bölgesinin güneyinde yapılmaktadır."
2003 yılında Türkiye'de fasulyenin toplam bakliyat üretimindeki payı nedir?,2003 yılında Türkiye'de fasulyenin toplam bakliyat üretimindeki payı %15.9'dur.
Türkiye'de tütün üretimi hangi bölgelerde yapılmaktadır?,"Türkiye'de tütün üretimi Ege, Marmara, Karadeniz, Doğu Anadolu ve Güneydoğu Anadolu Bölgeleri'nde yapılmaktadır."
2000 yılına kıyasla 2003 yılında tütün üretiminde ne kadar azalma olmuştur?,%29 oranında azalma olmuştur.
2003 yılında Türkiye'de tütün üretiminin en büyük kısmı hangi bölgede yapılmaktadır?,%65'i Ege Bölgesi'nde yapılmaktadır.
2003 yılında Türkiye'de toplam kaç ton tütün üretilmiştir?,148216 ton tütün üretilmiştir.
2003 yılında hangi bölgede yabancı tütün üretimi yapılmaktadır?,Marmara ve Güneydoğu Anadolu Bölgelerinde yapılmaktadır.
Türkiye'de üretimi yapılan başlıca yumru bitkiler nelerdir?,"Kuru soğan, patates ve sarımsaktır."
Amerikan blend sigaraların üretiminde kullanılan tütünlerin ithalat durumu nasıldır?,Yurt içinden yeterli düzeyde karşılanamayan bu tütünlerin ithalat miktarları giderek artmaktadır.
2003 yılında Doğu Anadolu Bölgesi'nde toplam kaç ton tütün üretilmiştir?,4433 ton tütün üretilmiştir.
Türkiye'nin 2003 yılı patates üretimi ne kadardır?,5.3 milyon ton
2003 yılında Türkiye'nin patates ekim alanı ne kadardır?,200 bin hektar
Türkiye'de patates üretiminin yoğun olarak yapıldığı iller hangileridir?,"Niğde, Nevşehir, Bolu, İzmir ve Afyon"
Dünya patates üretimi 2003 yılında ne kadardır?,311 milyon ton
Türkiye'nin ayçiçeği üretimindeki dünya verim ortalamasına göre durumu nasıldır?,"Türkiye, dünya ortalamasının üzerindedir."
2003 yılında Türkiye'nin ayçiçeği verimi ne kadardır?,1702 kg/ha
Türkiye'nin dünya ayçiçeği üretimindeki payı nedir?,%3
Ayçiçeği üretiminin büyük kısmı hangi illerde gerçekleşmektedir?,"Ayçiçeği üretiminin %65.6'sı sırasıyla Tekirdağ, Edirne ve Kırklareli illerinde gerçekleşmektedir."
Türkiye'nin bitkisel yağ üretiminde yaşadığı en önemli sorun nedir?,Türkiye’de en önemli sorunlardan biri bitkisel yağ açığıdır.
"Türkiye, dünya sebze üretiminin yüzde kaçını karşılamaktadır?","Türkiye, dünya sebze üretiminin % 3’ünü karşılamaktadır."
Dünya toplam domates üretiminin yüzde kaçı Türkiye tarafından karşılanmaktadır?,Dünya toplam domates üretiminin % 8.6'sı Türkiye tarafından karşılanmaktadır.
Türkiye'de sebze üretim alanı ne kadardır?,Türkiye’de ortalama bir milyon hektar alanda sebze tarımı yapılmaktadır.
1992 yılında Türkiye'de üretilen domates miktarı ne kadardır?,1992 yılında Türkiye'de üretilen domates miktarı 6450 bin tondur.
Türkiye'de en fazla üretilen yaprağı yenen sebzeler nelerdir?,"Yaprağı yenen sebzeler arasında en çok üretilenler lahana, pırasa, ıspanak ve maruldur."
Türkiye'de en çok üretilen kök sebzeler nelerdir?,En çok üretilen kök sebzeler taze soğan ve havuçtur.
Türkiye'nin yaş sebze ihracatında en önemli ülke hangisidir?,"Rusya Federasyonu, 2003 yılında Türkiye sebze ihracatının %21'inin yöneldiği en önemli ülke konumundadır."
1995-2003 döneminde Türkiye'de üretiminde en fazla azalma görülen meyve hangisidir?,"Armut, %9,8'lik azalmayla üretiminde en fazla azalma görülen meyvedir."
1992 yılında Türkiye'de en fazla üretilen yaprağı yenen sebze hangisidir?,"1992 yılında en fazla üretilen yaprağı yenen sebze lahana olup, üretimi 702,000 tondur."
Türkiye'nin yaş sebze ticaretinde önemli pay alan Avrupa ülkeleri hangileridir?,"İngiltere, Almanya ve Hollanda, Türkiye'nin yaş sebze ticaretinde önemli pay alan Avrupa ülkeleridir."
Türkiye'de 1995-2003 döneminde üretiminde en fazla artış görülen meyve hangisidir?,"Muz, yaklaşık 2,5 kat üretim artışıyla bu dönemde üretiminde en fazla artış görülen meyvedir."
Kayısı üretimindeki artışın sebepleri nelerdir?,"Kayısıda meyve veren ağaç sayısındaki yaklaşık %25'lik artış, verim artışıyla birlikte %84'lük üretim artışını sağlamıştır."
1995 yılında armut ağaç sayısı ve üretimi ne kadardır?,"Armut ağaç sayısı 11720 bin, üretim ise 410000 tondur."
2003 yılında kayısı ağaç sayısı ve üretimi ne kadardır?,"Kayısı ağaç sayısı 7450 bin, üretim ise 210000 tondur."
2000 yılında portakal üretimi ne kadardır?,2000 yılında portakal üretimi 1070000 tondur.
Antep fıstığı üretiminde ne kadar artış olmuştur?,Antep fıstığı üretiminde %150'lik bir artış olmuştur.
Badem verimindeki artış oranı nedir?,Badem veriminde %22.4'lük bir artış olmuştur.
Ceviz üretiminde neye bağlı bir değişim olmuştur?,"Ceviz verimi azalırken, ağaç sayısındaki artışa bağlı olarak üretimde değişim olmuştur."
2003 yılında elma üretimi ne kadardır?,2003 yılında elma üretimi 2600000 tondur.
Meyve ihracatında hangi sert kabuklu meyve ön plana çıkmaktadır?,"Antep fıstığı, 375.4 milyon dolarla sert kabuklu meyveler arasında ön plana çıkmaktadır."
Türkiye'de örtüaltı yetiştiriciliği ne zaman ve nerede başlamıştır?,Türkiye’de örtüaltı yetiştiriciliği 1940’lı yıllarda Antalya’da kurulan seralar ile başlamıştır.
Seracılığın gelişimi hangi yıllarda hız kazanmıştır?,Seracılığın gelişimi 1960’lı yıllardan itibaren plastiğin örtü malzemesi olarak kullanılmaya başlanması ile hız kazanmıştır.
Türkiye'de örtüaltı sebzeciliğinde en çok hangi sebze üretilmektedir?,Türkiye'de örtüaltı sebzeciliğinde en çok domates üretilmektedir.
Türkiye'de örtüaltı yetiştiriciliğinde hangi bölgelerde yoğunlaşma vardır?,"Türkiye’de örtüaltı yetiştiriciliği özellikle Akdeniz, Ege ve Marmara kıyı şeridinde yoğunlaşmıştır."
Seralarda üretilen sebzeler genel üretimin yüzde kaçını oluşturmaktadır?,"Seralarda üretilen 4-5 milyon ton sebze, genel üretimin %25’ini oluşturmaktadır."
Türkiye'de süs bitkileri üretimi hangi bölgelerde başlamıştır?,Türkiye'de süs bitkileri üretimi Yalova’da başlamış ve daha sonra Ege ve Akdeniz Bölgelerine yayılmıştır.
Türkiye'de kesme çiçek yetiştiriciliğinin ne kadarı seralarda yapılmaktadır?,Türkiye’de kesme çiçek yetiştiriciliğinin %60’a yakını seralarda yapılmaktadır.
2003 yılında Türkiye'de sığır sayısındaki azalma oranı nedir?,%17
Türkiye'de 2003 yılında kırmızı et üretiminde en önemli payı hangi et türü almaktadır?,Sığır-dana eti
1995-2003 yılları arasında Türkiye'de hangi hayvan türünün sayısı %115.1 oranında artmıştır?,Tavuk
2003 yılında Türkiye'de üretilen kırmızı etin %17.3'ü hangi hayvan etinden oluşmaktadır?,Koyun-kuzu eti
1995-2003 yılları arasında Türkiye'de koyun sayısındaki azalma oranı nedir?,%24.7
Türkiye'de 2003 yılı itibariyle yaklaşık kaç milyon adet arı kovanı bulunmaktadır?,4.3 milyon
1995-2003 yılları arasında Türkiye'de et tavuğu sayısındaki artış oranı nedir?,%202.9
Türkiye'de sığır-dana eti üretiminde 2002 yılında ne kadar artış sağlanmıştır?,%12 artış sağlanmıştır.
2003 yılında Türkiye'de tavuk eti üretimi ne kadar artmıştır?,2003 yılında tavuk eti üretimi yaklaşık 3.1 katına ulaşmıştır.
2003 yılında Türkiye'de toplam süt üretimi ne kadar olmuştur?,2003 yılında toplam süt üretimi 10 milyon tonun üstüne çıkmıştır.
1995 yılında Türkiye'de toplam süt üretimi ne kadardı?,1995 yılında toplam süt üretimi 10 milyon tonun üzerindeydi.
