soru,cevap
2001 yılı yaz mevsiminde ortalama ne kadar katı atık toplanmıştır?,"2001 yılı yaz mevsiminde ortalama 12,5 milyon ton katı atık toplanmıştır."
2001 yılında toplanan tıbbi atıkların ne kadarı düzenli depolama sahalarında bertaraf edilmiştir?,2001 yılında toplanan tıbbi atıkların %18'i düzenli depolama sahalarında bertaraf edilmiştir.
Türkiye'de 2001 yılında belediyelerin kullandığı çöp dökme sahası sayısı kaçtır?,Türkiye’de 2001 yılında belediyelerin kullandığı çöp dökme sahası sayısı 2247 olarak tesbit edilmiştir.
Türkiye'de endüstriyel atıkların bertaraf edilme oranı nedir?,Türkiye'de endüstriyel atıkların %57'sinden fazlası bertaraf edilmektedir.
Ülkemizde belediye çöplüklerinde bertaraf edilen endüstriyel atıkların oranı nedir?,Ülkemizde belediye çöplüklerinde bertaraf edilen endüstriyel atıkların oranı %30'dur.
Türkiye'de lisanslı olarak çalışan tek düzenli sanayi atıkları depolama tesisi hangisidir?,İzmit İZAYDAŞ tesisi.
Son üç yıl içinde hangi tür atıkların geri kazanımı için geçici lisans verilmiştir?,Atık motor yağları ve solvent atıkları.
Türkiye'de yılda ne kadar tehlikeli atık üretilmektedir?,"2,5 milyon tonun üzerinde."
Sanayi atıkları bertaraf ve geri kazanım tesislerinin tam kapasite ile çalıştırılamamasının nedenlerinden biri nedir?,Denetim yetersizliği.
Tarım topraklarının tarım dışı amaçlarla kullanılmasına neden olan faktörlerden biri nedir?,Uygulayıcı kuruluşların koordineli çalışmamaları.
Türkiye'nin toprak yapısı ve özellikleri hangi kurum tarafından sayısal haritalarda işlenmiştir?,"T.C. Başbakanlık Köy Hizmetleri Genel Müdürlüğü, Bilgi İşlem Merkezi."
Toprak kirliliği envanterinin ortaya çıkarılması için ne tür çalışmalar yapılmalıdır?,Su toplama havzaları bazında çalışmalar.
Toprak kirliliğinin kontrolüne yönelik yönetmelik ne zaman yürürlüğe girmiştir?,10.12.2001 tarih ve 24609 sayılı Resmi Gazete ile.
Türkiye'nin hangi bölgelerinde toprak sorunları daha yoğundur?,"Marmara, Ege, Akdeniz ve GAP Bölgeleri."
Seyhan Projesi uygulamaları üzerinde yapılan araştırmalar neyi belirtmektedir?,Endüstriyel atıksular ile kirlenmiş akarsuların sulamada kullanılmasının toprak kirliliğini artırdığını.
"Türkiye, BM/AEK Uzun Menzilli Sınırlar Ötesi Hava Kirliliği Sözleşmesi'ne ne zaman taraf olmuştur?","Türkiye, 23 Mart 1983 tarihinde bu sözleşmeye taraf olmuştur."
EMEP Finansman Protokolü Türkiye tarafından hangi yıl onaylanmıştır?,"EMEP Finansman Protokolü, 1985 yılında Türkiye tarafından onaylanmıştır."
Türkiye'nin ulusal hava kalitesi mevzuatının temelini hangi yönetmelik oluşturmaktadır?,"Hava Kalitesinin Korunması Yönetmeliği, ulusal hava kalitesi mevzuatının temelini oluşturmaktadır."
Ülkemizde hava kirliliği hangi yıllardan itibaren önemli bir çevre sorunu haline gelmiştir?,1970'li yıllardan itibaren önemli bir çevre sorunu haline gelmiştir.
Sanayiden kaynaklanan hava kirliliğinin sebeplerinden biri nedir?,Yanlış yer seçimi ve çevre açısından uygun teknolojilerin kullanılmaması sanayiden kaynaklanan hava kirliliğinin sebeplerindendir.
Termik santrallerin hava kirliliğine etkisi nedir?,"Termik santraller, yaktıkları büyük miktardaki fosil yakıtlar nedeniyle yerel ve bölgesel ölçekte hava kirliliğine neden olmaktadır."
Türkiye'nin hava kirliliği protokollerine taraf olamamasının sebeplerinden biri nedir?,Teknik altyapı yetersizlikleri ve ekonomik darboğaz nedeniyle gerekli çevre yatırımlarının gerçekleştirilememesi sebeplerden biridir.
Hava kalitesinin korunmasına yönelik ulusal mevzuat hangi tarihte yürürlüğe girmiştir?,2 Kasım 1986 tarihinde yürürlüğe girmiştir.
Ülkemizdeki çevre mevzuatı hangi tür hava kirleticilerini kapsamaktadır?,Hem hareketli hem de sabit kaynaklı hava kirleticilerini kapsamaktadır.
Türkiye'nin emisyon envanter çalışmasının olmaması hangi soruna yol açmaktadır?,Protokollerde tanımlanan sınır değerlerle karşılaştırma yapılamaması sorununa yol açmaktadır.
Türkiye'de hangi kirleticiler için emisyon envanteri oluşturulmamıştır?,Türkiye'de henüz geleneksel kirleticiler için bir emisyon envanteri oluşturulamamıştır.
Türkiye'de 2002 yılı itibariyle kaç istasyonda partikül madde ve kükürt dioksit ölçümleri yapılmaktadır?,Türkiye'de 2002 yılı itibariyle 48 il merkezi ve 6 ilçe merkezinde olmak üzere toplam 117 istasyonda partikül madde ve kükürt dioksit ölçümleri yapılmaktadır.
Türkiye'de akaryakıtta kurşun miktarının azaltılması için hangi yıl hedeflenmiştir?,Türkiye'de akaryakıtta kurşun miktarının azaltılması için 2005 yılına kadar uzanan yatırım plan ve programları hazırlanmıştır.
"Demiryolu ulaşımında harcanan enerji, tüm ulaşım sektöründe harcanan enerjinin yüzde kaçını oluşturmaktadır?","Demiryolu ulaşımında harcanan enerji, tüm ulaşım sektöründe harcanan enerjinin %17-19'unu oluşturmaktadır."
Karayolu ve demiryolu ulaşımında CO emisyonu ne kadar fark etmektedir?,"Karayolu için CO emisyonu 9,30 gr/yolcu-km iken, demiryolu için 0,06 gr/yolcu-km'dir."
Birleşmiş Milletler İklim Değişikliği Çerçeve Sözleşmesi'nin (İDÇS) nihai amacı nedir?,"İDÇS'nin nihai amacı, atmosferdeki sera gazı birikimlerini, insanın iklim sistemi üzerindeki tehlikeli etkilerini önleyecek bir düzeyde durdurmaktır."
"Türkiye, İDÇS'yi neden Rio'da imzalamamıştır?","Türkiye, İDÇS'nin eklerinde gelişmiş ülkeler arasında değerlendirildiği için ve bu koşullar altında yükümlülüklerini yerine getiremeyeceği gerçeğiyle İDÇS'yi Rio'da imzalamamıştır."
Türkiye'nin İDÇS'ye taraf olabilmesi için hangi koşulları talep etmiştir?,"Türkiye, İDÇS'nin iki Ekinden çıkarak ya da özel koşulları dikkate alınarak kendisine bazı kolaylıklar sağlanması koşuluyla Sözleşme'ye taraf olabileceğini bildirmiştir."
1997 Kyoto Konferansı'nda Türkiye'nin İDÇS eklerinden çıkarılması için kimler önerge vermiştir?,1997 Kyoto Konferansı'nda Türkiye'nin İDÇS eklerinden çıkarılması için Pakistan ve Azerbaycan tarafından önerge verilmiştir.
Türkiye'den 1997 Kyoto Konferansı'nda ne beklenmiştir?,"Türkiye'den, sera gazı salımlarına ilişkin gönüllü bir yükümlülüğü kabul etmesi beklenmiştir."
"Türkiye, İDÇS'nin Eklerinden çıkma isteğini hangi konferanslarda dile getirmiştir?","Türkiye, İDÇS'nin Eklerinden çıkma isteğini 1998'de Buenos Aires'deki TK-4, 1999'da Bonn'daki TK-5 ve 2000'de Lahey Konferansı'nda dile getirmiştir."
Türkiye'nin İDÇS'ye Ek I ülkesi olarak kabul edilmesi hangi konferansta gerçekleşmiştir?,Türkiye'nin İDÇS'ye Ek I ülkesi olarak kabul edilmesi 2001'de Marakeş'teki 7. Taraflar Konferansı'nda gerçekleşmiştir.
Türkiye'nin İDÇS'ye katılmasının TBMM tarafından onaylanması ile ilgili süreç ne zaman başlamıştır?,Türkiye'nin İDÇS'ye katılmasının TBMM tarafından onaylanması süreci 1996 yılında başlamıştır.
Türkiye'nin sera gazı emisyon envanteri çalışmalarına hangi yıl başlanmıştır?,Türkiye'nin sera gazı emisyon envanteri çalışmalarına 1997 yılında başlanmıştır.
Türkiye'nin sera gazı emisyonlarını hesaplamak için hangi metodoloji kullanılmaktadır?,Türkiye'nin sera gazı emisyonlarını hesaplamak için CORINAIR metodolojisi kullanılmaktadır.
Venedik Tüzüğü hangi yıl kabul edilmiştir?,Venedik Tüzüğü 1964 yılında kabul edilmiştir.
ICOMOS hangi yıl kurulmuştur?,ICOMOS 1965 yılında kurulmuştur.
ICOMOS'un kuruluşunda kaç üye yer almıştır?,ICOMOS'un kuruluşunda 15 üye yer almıştır.
"Türkiye, ICOMOS'a hangi yıldan itibaren üye olmuştur?","Türkiye, 1974 yılından itibaren ICOMOS'a üye olmuştur."
"Türkiye, UNESCO'nun kültür mirasının korunması konusundaki mekanizmalarına hangi konferanslarda taraf olmuştur?","Türkiye, UNESCO'nun kültür mirasının korunması konusundaki mekanizmalarına Habitat 2 konferanslarında taraf olmuştur."
Türkiye'de koruma konusunda hangi yapılar üzerinde uzun süre kararlar geliştirilmiştir?,"Camiler, medreseler, hanlar, hamamlar, türbeler gibi anıtsal yapılar üzerinde kararlar geliştirilmiştir."
Batı ülkelerinde anıtların korunmasıyla ilgili hangi yıl önemli bir gelişme yaşanmıştır?,1931 yılında anıtların yakın çevreleriyle bir bütün olarak korunması gerekliliği uluslararası tüzüklerde yer alarak resmiyet kazanmıştır.
1983 tarihli 'Kültür ve Tabiat Varlıklarını Koruma Yasası' hangi kurulla desteklenmektedir?,Anıtlar Yüksek Kurulu’nun ilke kararlarıyla desteklenmektedir.
Türkiye'de koruma amaçlı imar planları hangi alanlarda yaptırılmıştır?,Anadolu’da 'kentsel sit' niteliği taşıyan alanlarda koruma amaçlı imar planları yaptırılmıştır.
Kültür Bakanlığı'nın bütçesi genel bütçenin yüzde kaçına düşmüştür?,"Kültür Bakanlığı’nın bütçesi, genel bütçenin %0.2'sine düşmüştür."
Türkiye'nin tarihi kentsel ve kırsal bütünlükler açısından nasıl bir zenginliği vardır?,"Türkiye, bölgelere göre farklı nitelikler sergileyen tarihi kentsel ve kırsal bütünlükler açısından çok zengin bir ülkedir."
Günümüz Türkiye'sinde koruma nasıl algılanmaktadır?,Günümüz Türkiye’sinde 'koruma' bir anlamda gelişmenin karşıtı olarak görülmekte ve her yerleşmeden 1-2 sokak ya da birkaç yapı adasının örnek olarak korunması yeterli bulunmaktadır.
Avrupa ülkeleri tarihi yerleşmelerini nasıl kullanmaktadır?,"Avrupa ülkeleri, tarihi kentsel ve kırsal yerleşmelerini canlı odak noktaları olarak kullanmaktadır."
Türkiye'de hangi şehirler fiziksel doku açısından birbirinden ayırt edilemez hale gelmektedir?,"Kayseri’yi Kastamonu’dan, Kula’yı Nizip’ten, ya da Tekirdağ’ı Niğde’den ayırt edebilmek zor hale gelmektedir."
2023 yılına kadar Türkiye'de neyin başarılması gerekmektedir?,"2023 yılına dek, olumsuz durumların giderildiği ve kalan bütünlüklerin Batı’daki örnekler gibi korunup değerlendirildiği bir Türkiye’ye ulaşmak gerekmektedir."
Biyolojik çeşitlilik nedir?,"Biyolojik çeşitlilik, ekosistemlerin insanlığın gönenci için elzem olan yaşam destek sürecini sürdürebilme yeteneğinin ve sağlıklı çevrenin bir göstergesidir. Genetik, tür ve ekosistem çeşitliliği olmak üzere üç önemli parametreden oluşur."
Biyolojik Çeşitlilik Sözleşmesi ve Biyogüvenlik Protokolü neyi taahhüt eder?,"Biyolojik çeşitliliğin korunması ve sürdürülebilir kullanımına ilişkin verileri, takas mekanizması aracılığıyla tüm yararlanıcıların ortak kullanımına açmayı; ekosistemleri, türleri tehdit eden yabancı türlerin ülkeye girişinde gümrük denetimlerini ve risk değerlendirmesini yapmayı taahhüt eder."
CITES Sözleşmesine konu olan türlerle ilgili hangi çalışmalar yapılmaktadır?,"CITES Sözleşmesine konu olan türlere ilişkin listeler Çevre Bakanlığı işbirliği halinde Dış Ticaret Müsteşarlığı tarafından yayımlanmış olup, ithalat tebliği ile ilgili çalışmalar devam etmektedir."
Zümrüt Ağı'nın amacı nedir?,"Zümrüt Ağı'nın amacı, 'Korumaya Değer Özel Alanlar'dan oluşan ekolojik bir ağ kurarak, bu alanların barındırdığı nesli tehlikede olan tür ve habitatların korunarak nesillerinin kurtarılmasıdır."
RAMSAR Sözleşmesi'nin amacı nedir?,"RAMSAR Sözleşmesi'nin amacı, sulak alanların korunması ve akılcı kullanımının sağlanmasıdır."
Türkiye'nin biyolojik çeşitlilik açısından Avrupa'daki yeri nedir?,"Türkiye, Avrupa kıtasında biyolojik çeşitlilik açısından dokuzuncu sıradadır."
Türkiye'de kaç memeli türü bulunmaktadır?,Türkiye'de 120 memeli türü bulunmaktadır.
Türkiye'nin coğrafi yapısı hangi özellikleri sağlamaktadır?,"Türkiye'nin coğrafi yapısı, yüksek endemizm ve genetik çeşitliliği sağlamaktadır."
Türkiye'de kaç mikro-gen merkezi bulunmaktadır?,Türkiye'de beş ayrı mikro-gen merkezi bulunmaktadır.
Türkiye'de kaç meyve türü yetiştirilmektedir?,Türkiye'de 80 meyve türü yetiştirilmektedir.
Anadolu hangi üzüm türünün gen merkezidir?,"Anadolu, üzüm asmasının (Vitis vinifera) gen merkezidir."
Türkiye'de tehdit altında olan bazı yerli hayvan ırkları nelerdir?,"Karakul koyunu, Tuj koyunu ve Ankara keçisi tehdit altında olan yerli hayvan ırklarıdır."
Türkiye'de kaç kuş türü bulunmaktadır?,Türkiye'de yaklaşık 454 kuş türü bulunmaktadır.
Türkiye'nin florasında kaç endemik bitki türü bulunmaktadır?,Türkiye'nin florasında yaklaşık 3.000 endemik bitki türü bulunmaktadır.
Türkiye'de kaç balık türü tükenme tehlikesiyle karşı karşıyadır?,Türkiye'de 50 balık türü tükenme tehlikesiyle karşı karşıyadır.
Türkiye'de biyolojik çeşitliliğin korunmasında hangi türlere ağırlık verilmektedir?,Nesli tehdit altında olan türler ile endemik türlerin korunmasına ağırlık verilmektedir.
Türkiye'deki bitki türlerinin yüzde kaçı endemiktir?,Türkiye'deki bitki türlerinin %33'ü endemiktir.
Türkiye'de hangi deniz canlılarının yaşam alanı tehlike altındadır?,"Caretta caretta, Chelonia mydas türü denizkaplumbağaları ve Akdeniz Foku tehlike altındadır."
